record_id,session_id,timestamp_iso,pump_model,firmware_version,entry_time_ms,total_keypresses,large_up_count,small_up_count,small_down_count,large_down_count,correction_count,boundary_hit_count,large_btn_ratio,golden_path_ratio,final_rate_ml_h,intended_rate_ml_h,error_magnitude_ml_h,relative_error,confirmed_incorrect,drug_unit_used,drug_id,drug_name,drug_library_used,guardrail_soft_min,guardrail_soft_max,guardrail_hard_min,guardrail_hard_max,guardrail_warning_shown,guardrail_override,guardrail_blocked,rate_within_soft_limits,vtbi_set,vtbi_value_ml,kvo_rate_ml_h,bolus_delivered,bolus_volume_ml,secondary_infusion,patient_weight_kg,pressure_alarm_level,days_since_maintenance,battery_level_pct,firmware_version_risk,network_connected,drug_library_age_days,config_drift_score,recent_occlusion_alarms,alarms_during_session,risk_label,risk_score,risk_reasons
alaris_0001_ideal,alaris-19d1a8c16c0-0000,2026-03-23T11:54:41.728Z,alaris_gp,9.12,2222,7,0,7,0,0,0,0,0,1,9,9,0,0,0,mg/h,morphine,MORPHINE,1,1,10,0.5,20,0,0,0,1,1,510,1,0,0,0,70,5,17,84,0,1,5,0.001,0,0,low,0,""
alaris_0002_neglected,alaris-19d1a8c16c3-0001,2026-03-23T11:54:41.730Z,alaris_gp,7.2.0,3184,5,0,0,5,0,0,0,0,1,5,6,1,0.1667,0,mmol/h,kcl,KCl 20mmol,1,5,20,1,40,0,0,0,1,1,510,1,0,0,0,70,5,206,15,0,0,214,0.359,5,0,medium,0.49,"R10: 10% dose error (≥10% relative error)|R16: Drug library outdated (>90 days since update)|R17: Battery critically low (<20%)|R18: Not connected to Gateway — no remote monitoring|R20: Recent occlusion alarms (≥3 in last 24h)"
alaris_0003_ideal,alaris-19d1a8c16c4-0002,2026-03-23T11:54:41.730Z,alaris_gp,9.12,1580,5,1,4,0,0,0,0,0.2,1,29.212,29.212,0,0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1,50,0,0,0,1,1,510,1,0,0,0,82,5,13,82,0,1,13,0.05,0,0,low,0,""
alaris_0004_ideal,alaris-19d1a8c16c6-0003,2026-03-23T11:54:41.731Z,alaris_gp,9.12,2818,9,0,9,0,0,0,0,0,1,19,19,0,0,0,mmol/h,kcl,KCl 20mmol,1,5,20,1,40,0,0,0,1,1,510,1,0,0,0,70,5,27,100,0,1,12,0.025,0,0,low,0,""
alaris_0005_emergency,alaris-19d1a8c16c7-0004,2026-03-23T11:54:41.731Z,alaris_gp,9.12,9419,45,37,8,0,0,0,0,0.822,1,478,381,97,0.2546,1,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,150,62,0,1,52,0.339,0,0,high,0.97,"R04: MANUAL mode with high rate (>200 ml/h) — no library protection|R08: Confirmed wrong value (>10% error and infusion started)|R10: 10% dose error (≥10% relative error)|R12: MANUAL mode — no drug library protection|R13: VTBI not set — no infusion completion detection"
alaris_0006_emergency,alaris-19d1a8c16c8-0005,2026-03-23T11:54:41.731Z,alaris_gp,9.12,2307,11,9,2,0,0,0,0,0.818,1,192,225,33,0.1467,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,1,510,1,0,0,0,70,5,259,60,0,1,5,0.156,3,0,medium,0.43,"R10: 10% dose error (≥10% relative error)|R12: MANUAL mode — no drug library protection|R20: Recent occlusion alarms (≥3 in last 24h)"
alaris_0007_neglected,alaris-19d1a8c16c9-0006,2026-03-23T11:54:41.731Z,alaris_gp,7.2.0,1258,2,0,2,0,0,0,0,0,1,12,13,1,0.0769,0,mmol/h,kcl,KCl 20mmol,1,5,20,1,40,0,0,0,1,0,0,1,0,0,0,70,5,275,18,0,0,129,0.775,5,0,medium,0.545,"R13: VTBI not set — no infusion completion detection|R16: Drug library outdated (>90 days since update)|R17: Battery critically low (<20%)|R18: Not connected to Gateway — no remote monitoring|R19: High configuration drift (>0.5) from hospital standard|R20: Recent occlusion alarms (≥3 in last 24h)"
alaris_0008_neglected,alaris-19d1a8c16cb-0007,2026-03-23T11:54:41.732Z,alaris_gp,7.2.0,15133,23,20,0,3,0,1,1,0.87,0.885,1.197,1.915,0.718,0.3749,1,U/h,heparin,HEPARIN,1,500,2000,100,5000,0,0,0,1,0,0,1,0,0,0,70,5,133,49,0,0,345,0.745,3,0,high,1,"R08: Confirmed wrong value (>10% error and infusion started)|R10: 10% dose error (≥10% relative error)|R13: VTBI not set — no infusion completion detection|R15: Boundary hit during rate entry — operator tested limits|R16: Drug library outdated (>90 days since update)|R18: Not connected to Gateway — no remote monitoring|R19: High configuration drift (>0.5) from hospital standard|R20: Recent occlusion alarms (≥3 in last 24h)"
alaris_0009_ideal,alaris-19d1a8c16cc-0008,2026-03-23T11:54:41.732Z,alaris_gp,9.12,15092,48,0,0,6,42,0,0,0.875,1,0.574,0.591,0.017,0.0288,0,U/h,heparin,HEPARIN,1,500,2000,100,5000,0,0,0,1,1,490,1,0,0,0,70,5,28,98,0,1,8,0.009,0,0,low,0,""
alaris_0010_emergency,alaris-19d1a8c16cd-0009,2026-03-23T11:54:41.732Z,alaris_gp,9.12,6514,31,22,8,1,0,1,0,0.71,1.069,327,334,7,0.021,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,54,58,0,1,15,0.477,3,0,high,0.845,"R04: MANUAL mode with high rate (>200 ml/h) — no library protection|R12: MANUAL mode — no drug library protection|R13: VTBI not set — no infusion completion detection|R20: Recent occlusion alarms (≥3 in last 24h)"
