record_id,session_id,timestamp_iso,pump_model,firmware_version,entry_time_ms,total_keypresses,large_up_count,small_up_count,small_down_count,large_down_count,correction_count,boundary_hit_count,large_btn_ratio,golden_path_ratio,final_rate_ml_h,intended_rate_ml_h,error_magnitude_ml_h,relative_error,confirmed_incorrect,drug_unit_used,drug_id,drug_name,drug_library_used,guardrail_soft_min,guardrail_soft_max,guardrail_hard_min,guardrail_hard_max,guardrail_warning_shown,guardrail_override,guardrail_blocked,rate_within_soft_limits,vtbi_set,vtbi_value_ml,kvo_rate_ml_h,bolus_delivered,bolus_volume_ml,secondary_infusion,patient_weight_kg,pressure_alarm_level,days_since_maintenance,battery_level_pct,firmware_version_risk,network_connected,drug_library_age_days,config_drift_score,recent_occlusion_alarms,alarms_during_session,risk_label,risk_score,risk_reasons
alaris_0001_ideal,alaris-19d272f77bc-0000,2026-03-25T22:48:35.516Z,alaris_gp,9.12,1229,4,0,4,0,0,0,0,0.0,1.0,6.0,6.0,0.0,0.0,0,U/h,insulin,INSULIN,1,1,10,0.5,50,0,0,0,1,1,510,1,0,0,0,70,5,21,89,0,1,5,0.026,0,0,low,0.0,[]
alaris_0002_neglected,alaris-19d272f77bd-0001,2026-03-25T22:48:35.516Z,alaris_gp,7.2.0,1886,3,0,0,3,0,0,0,0.0,1.0,2.962,4.444,1.482,0.3335,1,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,79,5,206,33,0,0,100,0.608,5,0,high,0.965,"['R08: Confirmed wrong value (>10% error and infusion started)', 'R10: 10% dose error (≥10% relative error)', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0003_ideal,alaris-19d272f77bf-0002,2026-03-25T22:48:35.517Z,alaris_gp,9.12,4081,11,0,9,2,0,1,0,0.0,1.571,9.0,11.0,2.0,0.1818,0,U/h,insulin,INSULIN,1,1,10,0.5,50,1,0,0,1,1,510,1,0,0,0,70,5,1,92,0,1,13,0.017,0,0,medium,0.4,['R10: 10% dose error (≥10% relative error)']
alaris_0004_ideal,alaris-19d272f77c0-0003,2026-03-25T22:48:35.517Z,alaris_gp,9.12,317,1,0,1,0,0,0,0,0.0,1.0,3.0,3.0,0.0,0.0,0,U/h,insulin,INSULIN,1,1,10,0.5,50,0,0,0,1,1,510,1,0,0,0,70,5,28,87,0,1,8,0.03,0,0,low,0.0,[]
alaris_0005_emergency,alaris-19d272f77c1-0004,2026-03-25T22:48:35.517Z,alaris_gp,9.12,1692,8,0,0,1,7,0,0,0.875,1.0,29.0,26.0,3.0,0.1154,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,183,55,0,1,34,0.487,3,0,medium,0.455,"['R10: 10% dose error (≥10% relative error)', 'R12: MANUAL mode — no drug library protection', 'R13: VTBI not set — no infusion completion detection', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0006_neglected,alaris-19d272f77c2-0005,2026-03-25T22:48:35.517Z,alaris_gp,7.2.0,3166,5,0,5,0,0,0,0,0.0,1.0,7.0,7.0,0.0,0.0,0,mg/h,morphine,MORPHINE,1,1,10,0.5,20,0,0,0,1,1,510,1,0,0,0,70,5,246,35,0,0,356,0.744,1,0,medium,0.325,"['R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard']"
alaris_0007_neglected,alaris-19d272f77c3-0006,2026-03-25T22:48:35.517Z,alaris_gp,7.2.0,13153,20,20,0,0,0,0,1,1.0,1.0,1.2,1.209,0.009,0.0074,0,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,1,490,1,0,0,0,70,5,390,46,0,0,107,0.321,4,0,high,0.765,"['R06: No maintenance in >1 year (>365 days)', 'R15: Boundary hit during rate entry — operator tested limits', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0008_emergency,alaris-19d272f77c4-0007,2026-03-25T22:48:35.517Z,alaris_gp,9.12,5010,24,20,4,0,0,0,0,0.833,1.0,304.0,279.0,25.0,0.0896,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,12,66,0,0,12,0.379,2,0,high,0.835,"['R04: MANUAL mode with high rate (>200 ml/h) — no library protection', 'R12: MANUAL mode — no drug library protection', 'R13: VTBI not set — no infusion completion detection', 'R18: Not connected to Gateway — no remote monitoring']"
alaris_0009_ideal,alaris-19d272f77c5-0008,2026-03-25T22:48:35.517Z,alaris_gp,9.12,4083,13,4,9,0,0,0,0,0.308,1.0,43.889,43.889,0.0,0.0,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,22,84,0,1,10,0.028,0,0,low,0.0,[]
alaris_0010_cyber_risk,alaris-19d272f77c7-0009,2026-03-25T22:48:35.518Z,alaris_gp,8.05,5142,14,3,8,3,0,1,0,0.214,1.75,36.111,36.111,0.0,0.0,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,114,73,1,1,21,0.194,1,0,high,0.7,['R05: Firmware version has known CVE vulnerability']
